Module                  Size  Used by
mc                     94208  6 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
ecdh_generic           16384  2 bluetooth
fat                   110592  1 vfat
ledtrig_netdev         20480  0
iTCO_vendor_support    12288  1 iTCO_wdt
cfg80211             1376256  3 ath,mac80211,ath10k_core
snd_pcm               212992  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
r8169                 126976  0
intel_cstate           20480  0
platform_profile       12288  1 ideapad_laptop
mei_me                 61440  2
sparse_keymap          12288  1 ideapad_laptop
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
intel_lpss_pci         24576  0
rfkill                 40960  7 bluetooth,ideapad_laptop,cfg80211
realtek                40960  1
intel_lpss             12288  1 intel_lpss_pci
intel_uncore          262144  0
i2c_i801               45056  0
intel_wmi_thunderbolt    16384  0
snd                   159744  17 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm
mdio_devres            12288  1 r8169
spi_nor               172032  0
soundcore              16384  1 snd
i2c_smbus              20480  1 i2c_i801
mei                   208896  5 mei_hdcp,mei_pxp,mei_me
wmi_bmof               12288  0
i2c_hid_acpi           12288  0
idma64                 20480  0
libphy                241664  3 r8169,mdio_devres,realtek
mtd                   110592  3 spi_nor
intel_pch_thermal      20480  0
i2c_hid                40960  1 i2c_hid_acpi
intel_pmc_core        122880  0
intel_vsec             20480  1 intel_pmc_core
pinctrl_cannonlake     36864  0
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              16384  1 pmt_telemetry
acpi_pad               24576  0
mac_hid                12288  0
vboxnetflt             40960  0
vboxnetadp             32768  0
vboxdrv               696320  2 vboxnetadp,vboxnetflt
crypto_user            20480  0
loop                   45056  0
dm_mod                229376  0
nfnetlink              20480  3 nf_tables
ip_tables              36864  5 iptable_filter,iptable_security,iptable_raw,iptable_nat,iptable_mangle
x_tables               69632  12 ip6table_filter,ip6table_raw,iptable_filter,iptable_security,ip6table_nat,ip6_tables,iptable_raw,ip_tables,iptable_nat,ip6table_mangle,ip6table_security,iptable_mangle
ext4                 1183744  1
crc32c_generic         12288  0
crc16                  12288  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  221184  1 ext4
i915                 4329472  24
serio_raw              20480  0
i2c_algo_bit           20480  1 i915
atkbd                  40960  0
libps2                 20480  1 atkbd
drm_buddy              20480  1 i915
vivaldi_fmap           12288  1 atkbd
ttm                   110592  1 i915
nvme                   65536  4
intel_gtt              28672  1 i915
crc32c_intel           16384  3
spi_intel_pci          12288  0
nvme_core             258048  5 nvme
drm_display_helper    274432  1 i915
spi_intel              36864  1 spi_intel_pci
xhci_pci               24576  0
nvme_auth              28672  1 nvme_core
cec                    94208  2 drm_display_helper,i915
xhci_pci_renesas       24576  1 xhci_pci
video                  77824  2 ideapad_laptop,i915
i8042                  57344  1 ideapad_laptop
wmi                    36864  4 video,intel_wmi_thunderbolt,wmi_bmof,ideapad_laptop
serio                  28672  5 rmi_core,serio_raw,atkbd,i8042
